fishes ,3040,,sharks ,1000,,total ,4040,,Tick ,1
fishes ,4560,,sharks ,1243,,total ,5803,,Tick ,103
fishes ,4496,,sharks ,1200,,total ,5696,,Tick ,104
fishes ,4498,,sharks ,1162,,total ,5660,,Tick ,105
fishes ,4477,,sharks ,1103,,total ,5580,,Tick ,106
fishes ,4584,,sharks ,742,,total ,5326,,Tick ,107
fishes ,4482,,sharks ,1328,,total ,5810,,Tick ,108
fishes ,4268,,sharks ,1279,,total ,5547,,Tick ,109
fishes ,4183,,sharks ,1218,,total ,5401,,Tick ,110
fishes ,4148,,sharks ,1172,,total ,5320,,Tick ,111
fishes ,4129,,sharks ,1082,,total ,5211,,Tick ,112
fishes ,4199,,sharks ,705,,total ,4904,,Tick ,113
fishes ,4134,,sharks ,1239,,total ,5373,,Tick ,114
fishes ,3917,,sharks ,1166,,total ,5083,,Tick ,115
fishes ,3793,,sharks ,1120,,total ,4913,,Tick ,116
fishes ,3751,,sharks ,1077,,total ,4828,,Tick ,117
fishes ,3721,,sharks ,1025,,total ,4746,,Tick ,118
fishes ,3793,,sharks ,671,,total ,4464,,Tick ,119
fishes ,3719,,sharks ,1204,,total ,4923,,Tick ,120
fishes ,3565,,sharks ,1157,,total ,4722,,Tick ,121
fishes ,3450,,sharks ,1106,,total ,4556,,Tick ,122
fishes ,3418,,sharks ,1062,,total ,4480,,Tick ,123
fishes ,3434,,sharks ,1000,,total ,4434,,Tick ,124
fishes ,3506,,sharks ,684,,total ,4190,,Tick ,125
fishes ,3486,,sharks ,1139,,total ,4625,,Tick ,126
fishes ,3334,,sharks ,1066,,total ,4400,,Tick ,127
fishes ,3254,,sharks ,1012,,total ,4266,,Tick ,128
fishes ,3287,,sharks ,973,,total ,4260,,Tick ,129
fishes ,3307,,sharks ,904,,total ,4211,,Tick ,130
fishes ,3364,,sharks ,545,,total ,3909,,Tick ,131
fishes ,3342,,sharks ,950,,total ,4292,,Tick ,132
fishes ,3174,,sharks ,916,,total ,4090,,Tick ,133
fishes ,3132,,sharks ,886,,total ,4018,,Tick ,134
fishes ,3150,,sharks ,853,,total ,4003,,Tick ,135
fishes ,3228,,sharks ,804,,total ,4032,,Tick ,136
fishes ,3342,,sharks ,525,,total ,3867,,Tick ,137
fishes ,3420,,sharks ,932,,total ,4352,,Tick ,138
fishes ,3296,,sharks ,900,,total ,4196,,Tick ,139
fishes ,3384,,sharks ,868,,total ,4252,,Tick ,140
fishes ,3393,,sharks ,836,,total ,4229,,Tick ,141
fishes ,3491,,sharks ,789,,total ,4280,,Tick ,142
fishes ,3603,,sharks ,538,,total ,4141,,Tick ,143
fishes ,3631,,sharks ,989,,total ,4620,,Tick ,144
fishes ,3515,,sharks ,964,,total ,4479,,Tick ,145
fishes ,3484,,sharks ,931,,total ,4415,,Tick ,146
fishes ,3508,,sharks ,894,,total ,4402,,Tick ,147
fishes ,3553,,sharks ,835,,total ,4388,,Tick ,148
fishes ,3638,,sharks ,580,,total ,4218,,Tick ,149
fishes ,3705,,sharks ,1017,,total ,4722,,Tick ,150
fishes ,3634,,sharks ,958,,total ,4592,,Tick ,151
fishes ,3616,,sharks ,906,,total ,4522,,Tick ,152
fishes ,3672,,sharks ,870,,total ,4542,,Tick ,153
fishes ,3731,,sharks ,814,,total ,4545,,Tick ,154
fishes ,3879,,sharks ,516,,total ,4395,,Tick ,155
fishes ,3902,,sharks ,896,,total ,4798,,Tick ,156
fishes ,3882,,sharks ,854,,total ,4736,,Tick ,157
fishes ,3874,,sharks ,822,,total ,4696,,Tick ,158
fishes ,3991,,sharks ,800,,total ,4791,,Tick ,159
fishes ,4026,,sharks ,757,,total ,4783,,Tick ,160
fishes ,4177,,sharks ,519,,total ,4696,,Tick ,161
fishes ,4198,,sharks ,934,,total ,5132,,Tick ,162
fishes ,4201,,sharks ,883,,total ,5084,,Tick ,163
fishes ,4183,,sharks ,836,,total ,5019,,Tick ,164
fishes ,4290,,sharks ,793,,total ,5083,,Tick ,165
fishes ,4367,,sharks ,744,,total ,5111,,Tick ,166
fishes ,4544,,sharks ,461,,total ,5005,,Tick ,167
fishes ,4594,,sharks ,829,,total ,5423,,Tick ,168
fishes ,4638,,sharks ,793,,total ,5431,,Tick ,169
fishes ,4640,,sharks ,762,,total ,5402,,Tick ,170
fishes ,4762,,sharks ,730,,total ,5492,,Tick ,171
fishes ,4879,,sharks ,700,,total ,5579,,Tick ,172
fishes ,5034,,sharks ,527,,total ,5561,,Tick ,173
fishes ,5098,,sharks ,972,,total ,6070,,Tick ,174
fishes ,5059,,sharks ,955,,total ,6014,,Tick ,175
fishes ,5029,,sharks ,926,,total ,5955,,Tick ,176
fishes ,5061,,sharks ,876,,total ,5937,,Tick ,177
fishes ,5079,,sharks ,822,,total ,5901,,Tick ,178
fishes ,5192,,sharks ,586,,total ,5778,,Tick ,179
fishes ,5137,,sharks ,1054,,total ,6191,,Tick ,180
fishes ,5034,,sharks ,1005,,total ,6039,,Tick ,181
fishes ,4942,,sharks ,973,,total ,5915,,Tick ,182
fishes ,4990,,sharks ,937,,total ,5927,,Tick ,183
fishes ,4952,,sharks ,880,,total ,5832,,Tick ,184
fishes ,5108,,sharks ,607,,total ,5715,,Tick ,185
fishes ,5005,,sharks ,1124,,total ,6129,,Tick ,186
fishes ,4860,,sharks ,1096,,total ,5956,,Tick ,187
fishes ,4676,,sharks ,1070,,total ,5746,,Tick ,188
fishes ,4766,,sharks ,1045,,total ,5811,,Tick ,189
fishes ,4773,,sharks ,987,,total ,5760,,Tick ,190
fishes ,4943,,sharks ,687,,total ,5630,,Tick ,191
fishes ,4864,,sharks ,1152,,total ,6016,,Tick ,192
fishes ,4786,,sharks ,1109,,total ,5895,,Tick ,193
fishes ,4617,,sharks ,1081,,total ,5698,,Tick ,194
fishes ,4675,,sharks ,1041,,total ,5716,,Tick ,195
fishes ,4611,,sharks ,993,,total ,5604,,Tick ,196
fishes ,4725,,sharks ,743,,total ,5468,,Tick ,197
fishes ,4569,,sharks ,1350,,total ,5919,,Tick ,198
fishes ,4383,,sharks ,1305,,total ,5688,,Tick ,199
fishes ,4135,,sharks ,1266,,total ,5401,,Tick ,200
fishes ,4135,,sharks ,1240,,total ,5375,,Tick ,201
fishes ,3995,,sharks ,1164,,total ,5159,,Tick ,202
fishes ,4065,,sharks ,829,,total ,4894,,Tick ,203
fishes ,3882,,sharks ,1479,,total ,5361,,Tick ,204
fishes ,3644,,sharks ,1418,,total ,5062,,Tick ,205
fishes ,3473,,sharks ,1374,,total ,4847,,Tick ,206
fishes ,3417,,sharks ,1316,,total ,4733,,Tick ,207
fishes ,3386,,sharks ,1198,,total ,4584,,Tick ,208
fishes ,3350,,sharks ,712,,total ,4062,,Tick ,209
fishes ,3284,,sharks ,1151,,total ,4435,,Tick ,210
fishes ,3016,,sharks ,1082,,total ,4098,,Tick ,211
fishes ,2922,,sharks ,1038,,total ,3960,,Tick ,212
fishes ,2825,,sharks ,1010,,total ,3835,,Tick ,213
fishes ,2841,,sharks ,936,,total ,3777,,Tick ,214
fishes ,2823,,sharks ,567,,total ,3390,,Tick ,215
fishes ,2848,,sharks ,1008,,total ,3856,,Tick ,216
fishes ,2659,,sharks ,961,,total ,3620,,Tick ,217
fishes ,2665,,sharks ,923,,total ,3588,,Tick ,218
fishes ,2628,,sharks ,877,,total ,3505,,Tick ,219
fishes ,2728,,sharks ,823,,total ,3551,,Tick ,220
fishes ,2765,,sharks ,507,,total ,3272,,Tick ,221
fishes ,2891,,sharks ,869,,total ,3760,,Tick ,222
fishes ,2841,,sharks ,811,,total ,3652,,Tick ,223
fishes ,2953,,sharks ,756,,total ,3709,,Tick ,224
fishes ,3031,,sharks ,712,,total ,3743,,Tick ,225
fishes ,3222,,sharks ,660,,total ,3882,,Tick ,226
fishes ,3384,,sharks ,368,,total ,3752,,Tick ,227
fishes ,3602,,sharks ,660,,total ,4262,,Tick ,228
fishes ,3602,,sharks ,630,,total ,4232,,Tick ,229
fishes ,3781,,sharks ,608,,total ,4389,,Tick ,230
fishes ,3888,,sharks ,593,,total ,4481,,Tick ,231
fishes ,4090,,sharks ,561,,total ,4651,,Tick ,232
fishes ,4241,,sharks ,416,,total ,4657,,Tick ,233
fishes ,4382,,sharks ,736,,total ,5118,,Tick ,234
fishes ,4360,,sharks ,716,,total ,5076,,Tick ,235
fishes ,4440,,sharks ,698,,total ,5138,,Tick ,236
fishes ,4530,,sharks ,678,,total ,5208,,Tick ,237
fishes ,4671,,sharks ,632,,total ,5303,,Tick ,238
fishes ,4830,,sharks ,487,,total ,5317,,Tick ,239
fishes ,4903,,sharks ,898,,total ,5801,,Tick ,240
fishes ,4829,,sharks ,877,,total ,5706,,Tick ,241
fishes ,4818,,sharks ,864,,total ,5682,,Tick ,242
fishes ,4874,,sharks ,842,,total ,5716,,Tick ,243
fishes ,4943,,sharks ,796,,total ,5739,,Tick ,244
fishes ,5062,,sharks ,603,,total ,5665,,Tick ,245
fishes ,5048,,sharks ,1096,,total ,6144,,Tick ,246
fishes ,4870,,sharks ,1059,,total ,5929,,Tick ,247
fishes ,4764,,sharks ,1033,,total ,5797,,Tick ,248
fishes ,4694,,sharks ,1006,,total ,5700,,Tick ,249
fishes ,4674,,sharks ,959,,total ,5633,,Tick ,250
fishes ,4674,,sharks ,712,,total ,5386,,Tick ,251
fishes ,4613,,sharks ,1281,,total ,5894,,Tick ,252
fishes ,4398,,sharks ,1205,,total ,5603,,Tick ,253
fishes ,4267,,sharks ,1151,,total ,5418,,Tick ,254
fishes ,4198,,sharks ,1084,,total ,5282,,Tick ,255
fishes ,4122,,sharks ,987,,total ,5109,,Tick ,256
fishes ,4093,,sharks ,561,,total ,4654,,Tick ,257
fishes ,3947,,sharks ,978,,total ,4925,,Tick ,258
fishes ,3724,,sharks ,941,,total ,4665,,Tick ,259
fishes ,3550,,sharks ,911,,total ,4461,,Tick ,260
fishes ,3466,,sharks ,885,,total ,4351,,Tick ,261
fishes ,3440,,sharks ,829,,total ,4269,,Tick ,262
fishes ,3482,,sharks ,528,,total ,4010,,Tick ,263
fishes ,3477,,sharks ,864,,total ,4341,,Tick ,264
fishes ,3347,,sharks ,810,,total ,4157,,Tick ,265
fishes ,3328,,sharks ,786,,total ,4114,,Tick ,266
fishes ,3340,,sharks ,755,,total ,4095,,Tick ,267
fishes ,3446,,sharks ,705,,total ,4151,,Tick ,268
fishes ,3525,,sharks ,458,,total ,3983,,Tick ,269
fishes ,3667,,sharks ,816,,total ,4483,,Tick ,270
fishes ,3579,,sharks ,790,,total ,4369,,Tick ,271
fishes ,3679,,sharks ,756,,total ,4435,,Tick ,272
fishes ,3695,,sharks ,730,,total ,4425,,Tick ,273
fishes ,3847,,sharks ,669,,total ,4516,,Tick ,274
fishes ,3947,,sharks ,437,,total ,4384,,Tick ,275
fishes ,4066,,sharks ,767,,total ,4833,,Tick ,276
fishes ,3972,,sharks ,746,,total ,4718,,Tick ,277
fishes ,4039,,sharks ,715,,total ,4754,,Tick ,278
fishes ,4063,,sharks ,684,,total ,4747,,Tick ,279
fishes ,4197,,sharks ,638,,total ,4835,,Tick ,280
fishes ,4317,,sharks ,442,,total ,4759,,Tick ,281
fishes ,4444,,sharks ,786,,total ,5230,,Tick ,282
fishes ,4418,,sharks ,748,,total ,5166,,Tick ,283
fishes ,4492,,sharks ,719,,total ,5211,,Tick ,284
fishes ,4558,,sharks ,691,,total ,5249,,Tick ,285
fishes ,4720,,sharks ,662,,total ,5382,,Tick ,286
fishes ,4864,,sharks ,488,,total ,5352,,Tick ,287
fishes ,4981,,sharks ,874,,total ,5855,,Tick ,288
fishes ,4868,,sharks ,855,,total ,5723,,Tick ,289
fishes ,4949,,sharks ,835,,total ,5784,,Tick ,290
fishes ,5006,,sharks ,817,,total ,5823,,Tick ,291
fishes ,5191,,sharks ,782,,total ,5973,,Tick ,292
fishes ,5326,,sharks ,594,,total ,5920,,Tick ,293
fishes ,5455,,sharks ,1066,,total ,6521,,Tick ,294
fishes ,5270,,sharks ,1040,,total ,6310,,Tick ,295
fishes ,5292,,sharks ,1019,,total ,6311,,Tick ,296
fishes ,5313,,sharks ,993,,total ,6306,,Tick ,297
fishes ,5447,,sharks ,955,,total ,6402,,Tick ,298
fishes ,5546,,sharks ,657,,total ,6203,,Tick ,299
fishes ,5575,,sharks ,1145,,total ,6720,,Tick ,300
fishes ,5397,,sharks ,1100,,total ,6497,,Tick ,301
fishes ,5304,,sharks ,1058,,total ,6362,,Tick ,302
fishes ,5254,,sharks ,1028,,total ,6282,,Tick ,303
fishes ,5242,,sharks ,958,,total ,6200,,Tick ,304
fishes ,5239,,sharks ,629,,total ,5868,,Tick ,305
fishes ,5137,,sharks ,1078,,total ,6215,,Tick ,306
fishes ,4881,,sharks ,1059,,total ,5940,,Tick ,307
fishes ,4702,,sharks ,1033,,total ,5735,,Tick ,308
fishes ,4605,,sharks ,991,,total ,5596,,Tick ,309
fishes ,4534,,sharks ,937,,total ,5471,,Tick ,310
fishes ,4523,,sharks ,700,,total ,5223,,Tick ,311
fishes ,4398,,sharks ,1262,,total ,5660,,Tick ,312
fishes ,4079,,sharks ,1228,,total ,5307,,Tick ,313
fishes ,3893,,sharks ,1197,,total ,5090,,Tick ,314
fishes ,3802,,sharks ,1166,,total ,4968,,Tick ,315
fishes ,3745,,sharks ,1103,,total ,4848,,Tick ,316
fishes ,3737,,sharks ,782,,total ,4519,,Tick ,317
fishes ,3634,,sharks ,1341,,total ,4975,,Tick ,318
fishes ,3343,,sharks ,1322,,total ,4665,,Tick ,319
fishes ,3216,,sharks ,1290,,total ,4506,,Tick ,320
fishes ,3115,,sharks ,1248,,total ,4363,,Tick ,321
fishes ,3091,,sharks ,1156,,total ,4247,,Tick ,322
fishes ,3074,,sharks ,778,,total ,3852,,Tick ,323
fishes ,3048,,sharks ,1285,,total ,4333,,Tick ,324
fishes ,2913,,sharks ,1226,,total ,4139,,Tick ,325
fishes ,2864,,sharks ,1154,,total ,4018,,Tick ,326
fishes ,2906,,sharks ,1081,,total ,3987,,Tick ,327
fishes ,2960,,sharks ,982,,total ,3942,,Tick ,328
fishes ,3111,,sharks ,518,,total ,3629,,Tick ,329
fishes ,3181,,sharks ,831,,total ,4012,,Tick ,330
fishes ,3195,,sharks ,774,,total ,3969,,Tick ,331
fishes ,3305,,sharks ,743,,total ,4048,,Tick ,332
fishes ,3469,,sharks ,716,,total ,4185,,Tick ,333
fishes ,3699,,sharks ,655,,total ,4354,,Tick ,334
fishes ,3935,,sharks ,412,,total ,4347,,Tick ,335
fishes ,4175,,sharks ,743,,total ,4918,,Tick ,336
fishes ,4238,,sharks ,724,,total ,4962,,Tick ,337
fishes ,4471,,sharks ,706,,total ,5177,,Tick ,338
fishes ,4708,,sharks ,687,,total ,5395,,Tick ,339
fishes ,4977,,sharks ,657,,total ,5634,,Tick ,340
fishes ,5220,,sharks ,468,,total ,5688,,Tick ,341
fishes ,5351,,sharks ,850,,total ,6201,,Tick ,342
fishes ,5352,,sharks ,827,,total ,6179,,Tick ,343
fishes ,5424,,sharks ,806,,total ,6230,,Tick ,344
fishes ,5558,,sharks ,781,,total ,6339,,Tick ,345
fishes ,5697,,sharks ,735,,total ,6432,,Tick ,346
fishes ,5888,,sharks ,516,,total ,6404,,Tick ,347
fishes ,5927,,sharks ,912,,total ,6839,,Tick ,348
fishes ,5858,,sharks ,894,,total ,6752,,Tick ,349
fishes ,5852,,sharks ,862,,total ,6714,,Tick ,350
fishes ,5878,,sharks ,838,,total ,6716,,Tick ,351
fishes ,5920,,sharks ,796,,total ,6716,,Tick ,352
fishes ,5970,,sharks ,593,,total ,6563,,Tick ,353
fishes ,5942,,sharks ,1074,,total ,7016,,Tick ,354
fishes ,5691,,sharks ,1057,,total ,6748,,Tick ,355
fishes ,5581,,sharks ,1029,,total ,6610,,Tick ,356
fishes ,5489,,sharks ,1001,,total ,6490,,Tick ,357
fishes ,5443,,sharks ,967,,total ,6410,,Tick ,358
fishes ,5441,,sharks ,754,,total ,6195,,Tick ,359
fishes ,5340,,sharks ,1361,,total ,6701,,Tick ,360
fishes ,5030,,sharks ,1310,,total ,6340,,Tick ,361
fishes ,4864,,sharks ,1264,,total ,6128,,Tick ,362
fishes ,4695,,sharks ,1211,,total ,5906,,Tick ,363
fishes ,4636,,sharks ,1135,,total ,5771,,Tick ,364
fishes ,4584,,sharks ,764,,total ,5348,,Tick ,365
fishes ,4504,,sharks ,1356,,total ,5860,,Tick ,366
fishes ,4135,,sharks ,1297,,total ,5432,,Tick ,367
fishes ,3958,,sharks ,1254,,total ,5212,,Tick ,368
fishes ,3837,,sharks ,1218,,total ,5055,,Tick ,369
fishes ,3807,,sharks ,1126,,total ,4933,,Tick ,370
fishes ,3773,,sharks ,716,,total ,4489,,Tick ,371
fishes ,3756,,sharks ,1220,,total ,4976,,Tick ,372
fishes ,3543,,sharks ,1159,,total ,4702,,Tick ,373
fishes ,3468,,sharks ,1120,,total ,4588,,Tick ,374
fishes ,3400,,sharks ,1049,,total ,4449,,Tick ,375
fishes ,3392,,sharks ,989,,total ,4381,,Tick ,376
fishes ,3458,,sharks ,652,,total ,4110,,Tick ,377
fishes ,3446,,sharks ,1153,,total ,4599,,Tick ,378
fishes ,3262,,sharks ,1119,,total ,4381,,Tick ,379
fishes ,3179,,sharks ,1086,,total ,4265,,Tick ,380
fishes ,3146,,sharks ,1040,,total ,4186,,Tick ,381
fishes ,3177,,sharks ,986,,total ,4163,,Tick ,382
fishes ,3248,,sharks ,699,,total ,3947,,Tick ,383
fishes ,3324,,sharks ,1192,,total ,4516,,Tick ,384
fishes ,3203,,sharks ,1135,,total ,4338,,Tick ,385
fishes ,3283,,sharks ,1086,,total ,4369,,Tick ,386
fishes ,3365,,sharks ,1032,,total ,4397,,Tick ,387
fishes ,3550,,sharks ,951,,total ,4501,,Tick ,388
fishes ,3734,,sharks ,556,,total ,4290,,Tick ,389
fishes ,3935,,sharks ,892,,total ,4827,,Tick ,390
fishes ,3974,,sharks ,829,,total ,4803,,Tick ,391
fishes ,4175,,sharks ,788,,total ,4963,,Tick ,392
fishes ,4318,,sharks ,748,,total ,5066,,Tick ,393
fishes ,4514,,sharks ,696,,total ,5210,,Tick ,394
fishes ,4719,,sharks ,457,,total ,5176,,Tick ,395
fishes ,4855,,sharks ,847,,total ,5702,,Tick ,396
fishes ,4851,,sharks ,830,,total ,5681,,Tick ,397
fishes ,4914,,sharks ,809,,total ,5723,,Tick ,398
fishes ,4960,,sharks ,796,,total ,5756,,Tick ,399
fishes ,5121,,sharks ,757,,total ,5878,,Tick ,400
fishes ,5235,,sharks ,616,,total ,5851,,Tick ,401
fishes ,5321,,sharks ,1148,,total ,6469,,Tick ,402
fishes ,5129,,sharks ,1129,,total ,6258,,Tick ,403
fishes ,5084,,sharks ,1106,,total ,6190,,Tick ,404
fishes ,5042,,sharks ,1084,,total ,6126,,Tick ,405
fishes ,5129,,sharks ,1028,,total ,6157,,Tick ,406
fishes ,5213,,sharks ,782,,total ,5995,,Tick ,407
fishes ,5214,,sharks ,1408,,total ,6622,,Tick ,408
fishes ,4978,,sharks ,1358,,total ,6336,,Tick ,409
fishes ,4924,,sharks ,1311,,total ,6235,,Tick ,410
fishes ,4841,,sharks ,1264,,total ,6105,,Tick ,411
fishes ,4839,,sharks ,1174,,total ,6013,,Tick ,412
fishes ,4814,,sharks ,742,,total ,5556,,Tick ,413
fishes ,4752,,sharks ,1276,,total ,6028,,Tick ,414
fishes ,4478,,sharks ,1228,,total ,5706,,Tick ,415
fishes ,4322,,sharks ,1202,,total ,5524,,Tick ,416
fishes ,4221,,sharks ,1162,,total ,5383,,Tick ,417
fishes ,4196,,sharks ,1092,,total ,5288,,Tick ,418
fishes ,4173,,sharks ,747,,total ,4920,,Tick ,419
fishes ,4125,,sharks ,1283,,total ,5408,,Tick ,420
fishes ,3859,,sharks ,1255,,total ,5114,,Tick ,421
fishes ,3765,,sharks ,1220,,total ,4985,,Tick ,422
fishes ,3736,,sharks ,1179,,total ,4915,,Tick ,423
fishes ,3820,,sharks ,1093,,total ,4913,,Tick ,424
fishes ,3917,,sharks ,724,,total ,4641,,Tick ,425
fishes ,4028,,sharks ,1227,,total ,5255,,Tick ,426
fishes ,3911,,sharks ,1189,,total ,5100,,Tick ,427
fishes ,4003,,sharks ,1150,,total ,5153,,Tick ,428
fishes ,4068,,sharks ,1097,,total ,5165,,Tick ,429
fishes ,4268,,sharks ,1026,,total ,5294,,Tick ,430
fishes ,4379,,sharks ,690,,total ,5069,,Tick ,431
fishes ,4494,,sharks ,1185,,total ,5679,,Tick ,432
fishes ,4342,,sharks ,1144,,total ,5486,,Tick ,433
fishes ,4349,,sharks ,1108,,total ,5457,,Tick ,434
fishes ,4358,,sharks ,1079,,total ,5437,,Tick ,435
fishes ,4487,,sharks ,1014,,total ,5501,,Tick ,436
fishes ,4589,,sharks ,766,,total ,5355,,Tick ,437
fishes ,4639,,sharks ,1333,,total ,5972,,Tick ,438
fishes ,4399,,sharks ,1297,,total ,5696,,Tick ,439
fishes ,4359,,sharks ,1268,,total ,5627,,Tick ,440
fishes ,4293,,sharks ,1234,,total ,5527,,Tick ,441
fishes ,4425,,sharks ,1169,,total ,5594,,Tick ,442
fishes ,4400,,sharks ,860,,total ,5260,,Tick ,443
fishes ,4465,,sharks ,1515,,total ,5980,,Tick ,444
fishes ,4182,,sharks ,1466,,total ,5648,,Tick ,445
